monthly_charge,city,longitude,latitude,zip_code,number_of_referrals,age,tenure_in_months,total_long_distance_charges,total_revenue,avg_monthly_long_distance_charges,total_charges,avg_monthly_gb_download,contract,number_of_dependents,payment_method,engagement_score,num_addon_services,offer,total_extra_data_charges,paperless_billing,total_refunds,multiple_lines,customer_status
75.75,Yermo,-116.834092,35.013299,92398,7,60,27,682.02,2611.02,25,1929.0,23.0,Month-to-Month,3,Bank Withdrawal,2,0,Offer C,0,Yes,0.0,Yes,0
49.25,San Diego,-117.134917,32.961064,92129,0,69,2,87.98,179.08,43,91.1,27.0,Month-to-Month,0,Bank Withdrawal,2,1,No Offer,0,Yes,0.0,No,1
78.2,Fremont,-121.899117,37.516791,94539,0,20,27,1320.57,3399.52,48,2078.95,59.0,One Year,0,Credit Card,7,3,Offer C,0,No,0.0,No,0
25.5,Santa Rosa,-122.668817,38.439696,95405,1,31,25,592.25,1178.43,23,630.6,0.0,Two Year,3,Credit Card,1,0,No Offer,0,No,44.42,Yes,0
61.6,San Jose,-121.916819,37.327069,95126,5,46,25,161.25,1727.35,6,1611.0,19.0,One Year,0,Bank Withdrawal,4,3,No Offer,0,Yes,44.9,No,0
45.0,Tujunga,-118.244839,34.296574,91042,0,57,29,0.0,1230.19,0,1242.45,21.0,Month-to-Month,1,Credit Card,5,4,No Offer,0,Yes,12.26,No,0
85.15,Visalia,-119.372842,36.391777,93291,5,19,72,2329.92,8646.12,32,6316.2,52.0,Two Year,0,Bank Withdrawal,8,3,No Offer,0,Yes,0.0,Yes,0
51.45,Lodi,-121.159078,38.123544,95240,0,64,14,336.56,1064.41,24,727.85,12.0,One Year,0,Credit Card,2,1,No Offer,0,No,0.0,No,0
99.25,El Portal,-119.822984,37.654551,95318,0,38,35,1274.7,4806.7,36,3532.0,2.0,One Year,0,Bank Withdrawal,6,2,Offer C,0,Yes,0.0,No,0
44.3,Calistoga,-122.593216,38.629618,94515,0,54,1,42.95,87.25,42,44.3,9.0,Month-to-Month,0,Credit Card,1,0,Offer E,0,Yes,0.0,No,0
94.2,Farmington,-120.863055,37.956963,95230,0,50,29,59.45,2687.05,2,2607.6,17.0,Month-to-Month,0,Bank Withdrawal,5,1,No Offer,20,Yes,0.0,No,0
81.25,Tulelake,-121.492666,41.813521,96134,0,25,64,351.36,5958.91,5,5567.55,69.0,One Year,0,Bank Withdrawal,7,4,No Offer,40,No,0.0,Yes,0
99.95,Coleville,-119.475741,38.42528,96107,1,35,39,950.82,4718.22,24,3767.4,53.0,Month-to-Month,3,Credit Card,6,1,No Offer,0,Yes,0.0,Yes,0
91.55,Ojai,-118.931948,34.581308,93023,0,72,40,1765.6,5439.2,44,3673.6,23.0,Two Year,0,Bank Withdrawal,3,0,No Offer,0,Yes,0.0,No,0
104.5,Desert Hot Springs,-116.250973,33.832799,92241,0,51,40,1507.6,5544.45,37,4036.85,15.0,Month-to-Month,0,Credit Card,7,2,No Offer,0,Yes,0.0,Yes,1
95.0,North Hollywood,-118.400022,34.207295,91605,0,78,11,127.49,1367.79,11,1120.3,29.0,Month-to-Month,1,Bank Withdrawal,4,1,Offer D,120,Yes,0.0,No,1
50.35,Inverness,-122.945723,38.099323,94937,10,30,6,255.96,570.51,42,314.55,85.0,Month-to-Month,0,Bank Withdrawal,2,0,Offer E,0,No,0.0,Yes,0
64.5,Santa Rosa,-122.709096,38.526941,95404,0,58,30,79.2,1967.65,2,1888.45,15.0,Month-to-Month,0,Mailed Check,5,1,No Offer,0,Yes,0.0,Yes,0
19.4,San Jose,-121.897775,37.387027,95131,0,26,27,557.82,1087.62,20,529.8,0.0,Month-to-Month,0,Bank Withdrawal,0,0,No Offer,0,Yes,0.0,No,0
104.8,Wilmington,-118.262263,33.782068,90744,3,66,70,2764.3,10067.14,39,7308.95,28.0,One Year,0,Bank Withdrawal,6,2,No Offer,0,Yes,6.11,Yes,0
109.4,Modesto,-120.877572,37.670526,95357,10,20,57,456.57,6709.27,8,6252.7,73.0,One Year,0,Bank Withdrawal,8,3,Offer B,0,Yes,0.0,Yes,0
50.3,San Diego,-117.116587,32.697098,92113,10,61,58,1065.46,3933.78,18,2878.55,18.0,One Year,0,Credit Card,2,1,No Offer,0,No,10.23,No,0
71.4,Rancho Palos Verdes,-118.367459,33.753146,90275,0,24,16,411.36,1623.46,25,1212.1,48.0,Month-to-Month,0,Bank Withdrawal,6,2,No Offer,0,Yes,0.0,Yes,0
116.0,Kenwood,-122.521585,38.419525,95452,3,55,69,2657.88,10840.73,38,8182.85,27.0,Two Year,0,Bank Withdrawal,9,4,Offer A,0,Yes,0.0,Yes,0
19.85,West Point,-120.469545,38.41935,95255,0,32,1,31.77,51.62,31,19.85,0.0,Month-to-Month,0,Bank Withdrawal,0,0,Offer E,0,Yes,0.0,No,1
99.75,Los Angeles,-118.308933,34.003553,90062,0,59,1,40.71,140.46,40,99.75,25.0,Month-to-Month,0,Bank Withdrawal,6,1,No Offer,0,Yes,0.0,Yes,1
93.95,Morongo Valley,-116.594561,34.097863,92256,9,71,32,1019.52,3880.97,31,2861.45,23.0,One Year,1,Mailed Check,5,1,Offer C,0,Yes,0.0,No,0
90.8,Palo Verde,-114.758334,33.3249,92266,8,49,16,779.36,2221.56,48,1442.2,12.0,Month-to-Month,2,Bank Withdrawal,4,1,Offer D,0,Yes,0.0,Yes,0
84.35,Valyermo,-117.734568,34.39583,93563,1,61,49,1937.95,5997.3,39,4059.35,10.0,One Year,0,Bank Withdrawal,8,3,Offer B,0,No,0.0,Yes,1
58.25,Cambria,-121.032256,35.591387,93428,2,40,71,0.0,4145.9,0,4145.9,29.0,Two Year,0,Bank Withdrawal,7,3,Offer A,0,No,0.0,No,0
107.55,Round Mountain,-122.059933,40.923558,96084,0,39,33,1639.77,5285.27,49,3645.5,12.0,Month-to-Month,0,Bank Withdrawal,7,2,No Offer,0,No,0.0,Yes,0
19.95,Klamath,-124.035011,41.572813,95548,9,21,10,496.0,683.75,49,187.75,0.0,Month-to-Month,0,Bank Withdrawal,0,0,Offer D,0,Yes,0.0,No,0
111.2,Fresno,-119.797113,36.841655,93650,1,24,21,761.46,3198.56,36,2317.1,59.0,Month-to-Month,0,Bank Withdrawal,8,3,No Offer,120,Yes,0.0,Yes,1
40.2,Angwin,-122.419923,38.542448,94508,1,52,37,0.0,1448.8,0,1448.8,23.0,Month-to-Month,1,Bank Withdrawal,4,3,No Offer,0,No,0.0,No,1
85.8,Le Grand,-120.249581,37.249377,95333,0,71,26,877.24,3070.89,33,2193.65,7.0,Month-to-Month,0,Credit Card,3,1,No Offer,0,Yes,0.0,No,0
35.4,Redway,-123.852927,40.142256,95560,0,45,50,0.0,1748.9,0,1748.9,7.0,One Year,0,Credit Card,3,2,Offer B,0,Yes,0.0,No,0
73.85,San Diego,-117.209774,32.85723,92122,0,29,7,200.34,698.56,28,511.25,26.0,Month-to-Month,0,Bank Withdrawal,3,0,No Offer,0,Yes,13.03,Yes,1
88.1,Monterey Park,-118.115022,34.049172,91755,1,62,61,2878.59,8405.34,47,5526.75,28.0,Two Year,0,Mailed Check,9,4,Offer B,0,No,0.0,Yes,0
101.35,Big Oak Flat,-120.256995,37.818589,95305,0,42,15,688.8,2242.75,45,1553.95,12.0,Month-to-Month,0,Bank Withdrawal,6,2,Offer D,0,Yes,0.0,No,1
45.8,Stevenson Ranch,-118.615583,34.364153,91381,0,51,26,0.0,1147.0,0,1147.0,19.0,Month-to-Month,2,Credit Card,5,2,No Offer,0,No,0.0,No,0
94.65,North Highlands,-121.388251,38.671295,95660,9,39,72,2391.84,9139.19,33,6747.35,23.0,Month-to-Month,0,Bank Withdrawal,5,1,No Offer,0,Yes,0.0,No,0
20.5,La Puente,-117.991372,34.038983,91746,1,64,44,1205.6,2070.65,27,865.05,0.0,One Year,0,Bank Withdrawal,0,0,No Offer,0,Yes,0.0,No,0
89.4,Glenhaven,-122.743181,39.045246,95443,0,55,66,3219.48,9200.36,48,5976.9,8.0,Month-to-Month,0,Credit Card,5,1,Offer A,40,No,36.02,Yes,0
86.25,Alhambra,-118.145959,34.074736,91803,0,40,2,73.62,255.27,36,181.65,16.0,Month-to-Month,0,Bank Withdrawal,4,3,No Offer,0,Yes,0.0,No,1
74.85,Santa Monica,-118.491156,34.031529,90403,0,76,44,339.68,3589.82,7,3268.05,17.0,One Year,0,Bank Withdrawal,6,2,No Offer,0,No,17.91,No,0
89.75,Lodi,-121.159078,38.123544,95240,0,57,12,172.56,1224.96,14,1052.4,6.0,Month-to-Month,0,Bank Withdrawal,4,1,Offer D,0,Yes,0.0,Yes,1
109.95,Los Angeles,-118.24902,33.973616,90001,1,71,69,1270.29,8904.54,18,7634.25,17.0,Two Year,0,Bank Withdrawal,7,3,No Offer,0,Yes,0.0,Yes,0
80.2,Fairfield,-122.02711,38.287136,94533,0,25,1,1.23,81.43,1,80.2,69.0,Month-to-Month,0,Mailed Check,3,1,Offer E,0,Yes,0.0,Yes,1
19.85,Stockton,-121.319568,37.974498,95204,0,24,3,77.25,141.0,25,63.75,0.0,Month-to-Month,0,Credit Card,0,0,Offer E,0,No,0.0,No,1
90.35,Temecula,-117.029473,33.507255,92592,10,19,2,9.3,199.8,4,190.5,53.0,Month-to-Month,0,Bank Withdrawal,4,2,No Offer,0,No,0.0,No,0
86.45,Fallbrook,-117.299644,33.362575,92028,0,77,27,80.19,2481.24,2,2401.05,4.0,Two Year,0,Bank Withdrawal,4,2,No Offer,0,Yes,0.0,Yes,0
20.3,Randsburg,-117.773354,35.405722,93554,0,57,26,346.84,858.09,13,511.25,0.0,Month-to-Month,0,Bank Withdrawal,0,0,Offer C,0,Yes,0.0,No,0
101.25,Atascadero,-120.69461,35.453912,93422,9,73,39,785.85,4735.0,20,3949.15,21.0,Month-to-Month,0,Bank Withdrawal,6,1,No Offer,0,Yes,0.0,Yes,0
94.7,Planada,-120.306399,37.329725,95365,0,41,25,872.0,3234.1,34,2362.1,8.0,Month-to-Month,0,Bank Withdrawal,5,0,No Offer,0,Yes,0.0,Yes,1
70.9,Moorpark,-118.858169,34.312945,93021,0,43,1,39.81,110.71,39,70.9,23.0,Month-to-Month,0,Mailed Check,1,0,Offer E,0,No,0.0,No,1
54.2,Solvang,-120.137875,34.624399,93463,1,48,22,599.28,1751.98,27,1152.7,21.0,Month-to-Month,0,Bank Withdrawal,3,2,Offer D,0,Yes,0.0,No,1
114.9,Calistoga,-122.593216,38.629618,94515,0,56,72,3482.64,11979.34,48,8496.7,5.0,Two Year,0,Bank Withdrawal,9,4,Offer A,0,Yes,0.0,Yes,0
19.55,La Mirada,-118.008961,33.902045,90638,0,51,24,255.36,725.56,10,470.2,0.0,Two Year,0,Bank Withdrawal,0,0,No Offer,0,Yes,0.0,No,0
86.85,Boron,-117.73045,34.95703,93516,8,34,19,148.96,1713.36,7,1564.4,16.0,Month-to-Month,0,Bank Withdrawal,3,0,No Offer,0,Yes,0.0,Yes,0
25.35,San Marcos,-117.166036,33.119028,92078,2,21,71,653.2,2500.75,9,1847.55,0.0,Two Year,2,Credit Card,1,0,No Offer,0,No,0.0,Yes,0
109.9,Desert Center,-115.257009,33.889605,92239,7,78,33,829.95,4524.65,25,3694.7,20.0,One Year,0,Bank Withdrawal,7,3,No Offer,0,Yes,0.0,Yes,0
19.95,Crows Landing,-121.049056,37.435664,95313,0,60,3,8.07,66.07,2,58.0,0.0,Month-to-Month,0,Credit Card,0,0,No Offer,0,No,0.0,No,0
87.2,Tuolumne,-120.188002,37.939768,95379,7,54,47,51.23,4068.68,1,4017.45,13.0,Month-to-Month,1,Bank Withdrawal,4,1,No Offer,0,No,0.0,Yes,0
108.15,San Diego,-117.060993,32.807867,92120,2,42,62,109.12,6934.77,1,6825.65,20.0,Two Year,3,Credit Card,8,4,No Offer,0,No,0.0,No,0
116.3,Auburn,-121.082766,38.912881,95603,0,22,71,204.48,8514.03,2,8309.55,48.0,One Year,0,Bank Withdrawal,9,4,No Offer,0,Yes,0.0,Yes,0
89.0,Fresno,-119.741322,36.623632,93725,8,71,7,293.79,899.24,41,605.45,11.0,Two Year,0,Bank Withdrawal,4,0,No Offer,0,Yes,0.0,No,0
74.4,Del Rey,-119.595293,36.657462,93616,6,56,27,1259.82,3232.17,46,1972.35,28.0,Month-to-Month,2,Credit Card,2,1,Offer C,0,No,0.0,No,0
20.05,Redwood City,-122.230941,37.527497,94065,0,33,2,3.62,37.32,1,33.7,0.0,Month-to-Month,0,Credit Card,0,0,No Offer,0,No,0.0,No,0
35.05,Landers,-116.539416,34.341737,92285,0,32,25,0.0,844.45,0,844.45,75.0,Two Year,3,Bank Withdrawal,3,2,Offer C,0,No,0.0,No,0
74.75,Hawthorne,-118.348083,33.914775,90250,0,80,30,1158.3,3269.6,38,2111.3,5.0,One Year,0,Bank Withdrawal,5,2,No Offer,0,Yes,0.0,No,0
105.5,Oceano,-120.604741,35.059695,93445,1,73,58,982.52,7188.02,16,6205.5,19.0,One Year,0,Credit Card,7,3,No Offer,0,Yes,0.0,No,1
85.25,Armona,-119.710852,36.315979,93202,1,26,10,20.2,975.5,2,855.3,82.0,Month-to-Month,0,Bank Withdrawal,4,0,Offer D,100,Yes,0.0,Yes,1
75.2,Clarksburg,-121.578701,38.384648,95612,0,59,9,83.43,717.28,9,633.85,28.0,Month-to-Month,0,Credit Card,2,0,No Offer,0,Yes,0.0,Yes,0
84.35,Irvine,-117.752574,33.716136,92620,1,78,6,172.26,647.16,28,474.9,17.0,Month-to-Month,0,Bank Withdrawal,3,0,No Offer,0,Yes,0.0,Yes,1
84.45,Scotts Valley,-122.010077,37.070177,95066,7,47,69,2685.48,8574.08,38,5848.6,16.0,One Year,1,Bank Withdrawal,4,2,No Offer,40,No,0.0,Yes,0
102.4,Salida,-121.08739,37.713152,95368,0,68,66,689.7,7161.55,10,6471.85,20.0,Two Year,0,Bank Withdrawal,6,1,No Offer,0,Yes,0.0,Yes,0
115.55,Mckinleyville,-124.015255,40.965011,95519,0,30,70,714.7,8842.3,10,8127.6,52.0,One Year,0,Credit Card,9,4,Offer A,0,No,0.0,Yes,1
25.3,Atherton,-122.203168,37.454924,94027,0,62,25,139.25,815.6,5,676.35,0.0,One Year,0,Bank Withdrawal,1,0,Offer C,0,No,0.0,Yes,1
19.25,Huntington Beach,-118.043237,33.721917,92649,1,52,46,1119.18,1983.38,24,864.2,0.0,Two Year,2,Credit Card,0,0,Offer B,0,Yes,0.0,No,0
114.65,Calimesa,-117.057627,33.982787,92320,7,63,54,615.6,6665.1,11,6049.5,26.0,One Year,0,Credit Card,9,4,Offer B,0,Yes,0.0,Yes,0
105.1,Daly City,-122.445202,37.691561,94014,0,54,15,335.85,1918.6,22,1582.75,7.0,Month-to-Month,0,Bank Withdrawal,7,3,No Offer,0,No,0.0,No,1
19.4,Middletown,-122.58675,38.787446,95461,0,48,12,99.0,297.1,8,198.1,0.0,Month-to-Month,1,Bank Withdrawal,0,0,Offer D,0,No,0.0,No,0
50.35,Berkeley,-122.240512,37.858898,94705,0,51,22,0.0,1098.85,0,1098.85,22.0,Month-to-Month,0,Bank Withdrawal,5,1,No Offer,0,Yes,0.0,No,0
57.8,Lost Hills,-119.893068,35.637715,93249,9,22,70,0.0,4038.29,0,4039.3,85.0,Two Year,0,Bank Withdrawal,7,3,No Offer,0,No,1.01,No,0
84.3,Garden Grove,-117.969795,33.766476,92844,0,52,30,741.9,3310.5,24,2438.6,20.0,Month-to-Month,0,Credit Card,4,3,Offer C,130,Yes,0.0,No,0
100.55,Indio,-116.230055,33.752938,92203,1,22,71,2012.14,9108.9,28,7113.75,59.0,One Year,1,Bank Withdrawal,6,1,Offer A,0,No,16.99,Yes,0
19.8,Oxnard,-119.117218,34.156629,93033,2,33,30,294.3,870.95,9,576.65,0.0,One Year,0,Credit Card,0,0,No Offer,0,No,0.0,No,0
84.8,San Diego,-117.209774,32.85723,92122,5,26,4,115.08,486.98,28,371.9,19.0,Month-to-Month,0,Bank Withdrawal,5,2,Offer E,0,Yes,0.0,Yes,1
85.85,Escondido,-116.967221,33.141265,92027,0,58,2,28.28,195.58,14,167.3,28.0,Month-to-Month,0,Bank Withdrawal,4,1,Offer E,0,Yes,0.0,No,1
19.95,Moreno Valley,-117.244933,33.923149,92553,0,22,10,78.6,298.1,7,219.5,0.0,One Year,1,Bank Withdrawal,0,0,No Offer,0,Yes,0.0,No,0
75.35,Chino,-117.663025,33.990646,91710,0,66,4,145.6,419.0,36,273.4,29.0,One Year,0,Bank Withdrawal,2,1,Offer E,0,No,0.0,No,0
48.8,Sacramento,-121.444144,38.53508,95820,0,69,52,0.0,2555.05,0,2555.05,19.0,Two Year,0,Credit Card,5,1,Offer B,0,Yes,0.0,No,0
47.15,San Diego,-117.199424,32.825086,92117,0,25,5,110.05,333.2,22,223.15,85.0,Month-to-Month,0,Bank Withdrawal,3,0,No Offer,0,No,0.0,Yes,1
20.15,Turlock,-120.875917,37.474396,95380,1,30,8,22.96,188.46,2,165.5,0.0,Two Year,3,Credit Card,0,0,Offer E,0,No,0.0,No,0
44.3,Calexico,-115.431225,32.690654,92231,0,73,2,47.82,137.12,23,89.3,22.0,One Year,0,Bank Withdrawal,1,0,Offer E,0,Yes,0.0,No,0
84.3,Groveland,-119.667544,37.902968,95321,0,46,3,41.16,276.21,13,235.05,26.0,Month-to-Month,0,Bank Withdrawal,4,1,Offer E,0,No,0.0,No,0
59.55,Los Gatos,-121.945611,37.160194,95033,0,40,19,225.15,1369.75,11,1144.6,18.0,Month-to-Month,0,Bank Withdrawal,4,2,Offer D,0,No,0.0,Yes,0
69.65,Clovis,-119.593757,36.917652,93611,0,53,72,263.52,5171.77,3,4908.25,13.0,Two Year,0,Bank Withdrawal,6,4,Offer A,0,No,0.0,Yes,0
36.1,Hyampom,-123.465088,40.648024,96046,2,76,63,0.0,2298.9,0,2298.9,7.0,One Year,0,Bank Withdrawal,3,2,Offer B,0,No,0.0,No,0
56.6,Woodland Hills,-118.593408,34.153733,91364,1,38,66,0.0,3789.2,0,3789.2,29.0,Two Year,0,Bank Withdrawal,6,4,No Offer,0,Yes,0.0,No,0
75.9,Temecula,-117.029473,33.507255,92592,0,23,1,44.56,120.46,44,75.9,27.0,Month-to-Month,0,Bank Withdrawal,2,1,No Offer,0,Yes,0.0,No,1
79.2,Livingston,-120.748394,37.361987,95334,0,24,60,917.4,5682.4,15,4765.0,48.0,One Year,0,Bank Withdrawal,3,1,No Offer,0,Yes,0.0,Yes,0
45.0,Tulare,-119.375243,36.185471,93274,3,43,48,0.0,2196.3,0,2196.3,22.0,One Year,3,Credit Card,5,2,No Offer,0,No,0.0,No,0
85.55,Buellton,-120.238218,34.631362,93427,0,45,1,33.34,118.89,33,85.55,4.0,Month-to-Month,0,Credit Card,3,1,Offer E,0,Yes,0.0,No,1
93.35,Palmdale,-118.029441,34.557711,93552,0,49,15,733.95,2178.6,48,1444.65,15.0,Month-to-Month,0,Bank Withdrawal,5,0,No Offer,0,Yes,0.0,Yes,1
109.65,Midway City,-117.98588,33.744439,92655,4,62,50,1728.5,7134.3,34,5405.8,13.0,Month-to-Month,0,Bank Withdrawal,8,3,Offer B,0,Yes,0.0,Yes,0
89.7,Folsom,-121.147403,38.672638,95630,10,25,72,2430.0,8769.3,33,6339.3,30.0,Two Year,1,Credit Card,9,4,Offer A,0,No,0.0,Yes,0
84.25,Oakland,-122.14633,37.787186,94619,0,37,46,1990.42,5938.02,43,3847.6,21.0,Month-to-Month,0,Credit Card,4,2,No Offer,100,No,0.0,Yes,0
92.65,San Anselmo,-122.575026,37.99272,94960,4,35,72,2160.0,8893.0,30,6733.0,19.0,Two Year,1,Bank Withdrawal,9,4,No Offer,0,No,0.0,Yes,0
19.7,Duarte,-117.95982,34.145695,91010,2,37,1,34.28,53.98,34,19.7,0.0,Month-to-Month,3,Credit Card,0,0,No Offer,0,No,0.0,No,0
50.1,Lake Elsinore,-117.391751,33.655421,92530,0,19,1,29.13,79.23,29,50.1,51.0,Month-to-Month,0,Bank Withdrawal,2,0,No Offer,0,Yes,0.0,Yes,0
92.45,San Clemente,-117.609432,33.429488,92672,0,69,67,172.19,6313.04,2,6140.85,21.0,Two Year,0,Bank Withdrawal,5,3,Offer A,0,Yes,0.0,No,0
79.65,Los Angeles,-118.310715,34.076259,90004,5,44,48,429.12,4299.42,8,3870.3,27.0,Two Year,1,Bank Withdrawal,7,2,No Offer,0,No,0.0,Yes,0
109.9,Downey,-118.128628,33.940884,90241,0,19,72,3017.52,10641.72,41,7624.2,73.0,Two Year,0,Bank Withdrawal,8,4,No Offer,0,Yes,0.0,No,0
