monthly_charge,city,zip_code,latitude,longitude,age,total_long_distance_charges,number_of_referrals,total_charges,avg_monthly_gb_download,tenure_in_months,avg_monthly_long_distance_charges,total_revenue,number_of_dependents,contract,payment_method,engagement_score,total_extra_data_charges,offer,internet_type,num_addon_services,paperless_billing,total_refunds,customer_status
83.75,Alpaugh,93201,35.869626,-119.498771,30,802.93,1,1849.95,30.0,23,34,2652.88,2,Month-to-Month,Bank Withdrawal,3,0,Offer D,Fiber Optic,0,Yes,0.0,0
19.85,Keeler,93530,36.560498,-117.962461,22,9.36,0,57.2,0.0,3,3,66.56,0,Month-to-Month,Credit Card,0,0,No Offer,No Internet,0,No,0.0,0
20.35,Korbel,95550,40.7666,-123.80458,34,49.72,0,76.35,0.0,4,12,126.07,0,Month-to-Month,Credit Card,0,0,Offer E,No Internet,0,No,0.0,1
30.5,Palomar Mountain,92060,33.309852,-116.823091,37,0.0,1,30.5,19.0,1,0,30.5,1,Month-to-Month,Bank Withdrawal,2,0,No Offer,DSL,1,No,0.0,1
103.7,Parlier,93648,36.622237,-119.521126,37,1927.2,10,5656.75,57.0,55,35,7603.95,3,One Year,Bank Withdrawal,7,20,No Offer,Fiber Optic,3,Yes,0.0,0
20.4,Modesto,95358,37.612612,-121.108568,42,1063.8,3,1090.6,0.0,54,19,2154.4,3,Two Year,Credit Card,0,0,No Offer,No Internet,0,No,0.0,0
19.6,Glen Ellen,95442,38.368744,-122.522642,64,980.2,0,471.85,0.0,26,37,1430.8,0,One Year,Bank Withdrawal,0,0,Offer C,No Internet,0,Yes,21.25,0
19.7,Eureka,95503,40.737431,-124.108897,47,2648.91,5,1396.9,0.0,69,38,4045.81,3,Two Year,Bank Withdrawal,0,0,No Offer,No Internet,0,No,0.0,0
91.2,Moss Beach,94038,37.515556,-122.502311,23,1591.37,1,3247.55,51.0,37,43,4838.92,3,One Year,Credit Card,4,0,Offer C,Fiber Optic,0,No,0.0,0
20.45,Los Angeles,90058,34.001617,-118.222274,48,2429.42,5,900.9,0.0,49,49,3330.32,0,One Year,Bank Withdrawal,0,0,Offer B,No Internet,0,No,0.0,0
-2.0,Los Angeles,90063,34.044271,-118.185237,28,2888.82,9,7942.15,41.0,66,43,10830.97,0,One Year,Bank Withdrawal,9,0,No Offer,Fiber Optic,4,No,0.0,0
20.55,Calexico,92231,32.690654,-115.431225,28,1549.04,0,1343.4,0.0,67,23,2861.91,0,One Year,Bank Withdrawal,0,0,No Offer,No Internet,0,No,30.53,0
39.4,Redding,96003,40.677649,-122.29467,33,0.0,4,825.4,22.0,20,0,825.4,1,Two Year,Credit Card,4,0,No Offer,Cable,3,Yes,0.0,0
25.1,San Martin,95046,37.084697,-121.606417,31,1317.52,0,1070.15,0.0,43,30,2387.67,3,Two Year,Bank Withdrawal,1,0,No Offer,No Internet,0,Yes,0.0,0
89.8,Stockton,95209,38.044523,-121.348048,37,279.4,2,4959.6,9.0,55,5,5239.0,0,Month-to-Month,Bank Withdrawal,4,0,Offer B,Fiber Optic,1,Yes,0.0,0
94.75,Los Angeles,90003,33.964131,-118.272783,60,967.01,4,5597.65,14.0,59,16,6564.66,0,Month-to-Month,Bank Withdrawal,5,0,Offer B,Fiber Optic,2,Yes,0.0,0
20.3,Huntington Park,90255,33.97803,-118.217141,48,231.36,3,224.5,0.0,12,19,455.86,3,Two Year,Bank Withdrawal,0,0,No Offer,No Internet,0,No,0.0,0
75.75,Yermo,92398,35.013299,-116.834092,60,682.02,7,1929.0,23.0,27,25,2611.02,3,Month-to-Month,Bank Withdrawal,2,0,Offer C,Fiber Optic,0,Yes,0.0,0
49.25,San Diego,92129,32.961064,-117.134917,69,87.98,0,91.1,27.0,2,43,179.08,0,Month-to-Month,Bank Withdrawal,2,0,No Offer,DSL,1,Yes,0.0,1
78.2,Fremont,94539,37.516791,-121.899117,20,1320.57,0,2078.95,59.0,27,48,3399.52,0,One Year,Credit Card,7,0,Offer C,DSL,3,No,0.0,0
25.5,Santa Rosa,95405,38.439696,-122.668817,31,592.25,1,630.6,0.0,25,23,1178.43,3,Two Year,Credit Card,1,0,No Offer,No Internet,0,No,44.42,0
61.6,San Jose,95126,37.327069,-121.916819,46,161.25,5,1611.0,19.0,25,6,1727.35,0,One Year,Bank Withdrawal,4,0,No Offer,Cable,3,Yes,44.9,0
45.0,Tujunga,91042,34.296574,-118.244839,57,0.0,0,1242.45,21.0,29,0,1230.19,1,Month-to-Month,Credit Card,5,0,No Offer,DSL,4,Yes,12.26,0
85.15,Visalia,93291,36.391777,-119.372842,19,2329.92,5,6316.2,52.0,72,32,8646.12,0,Two Year,Bank Withdrawal,8,0,No Offer,DSL,3,Yes,0.0,0
51.45,Lodi,95240,38.123544,-121.159078,64,336.56,0,727.85,12.0,14,24,1064.41,0,One Year,Credit Card,2,0,No Offer,Cable,1,No,0.0,0
99.25,El Portal,95318,37.654551,-119.822984,38,1274.7,0,3532.0,2.0,35,36,4806.7,0,One Year,Bank Withdrawal,6,0,Offer C,Fiber Optic,2,Yes,0.0,0
44.3,Calistoga,94515,38.629618,-122.593216,54,42.95,0,44.3,9.0,1,42,87.25,0,Month-to-Month,Credit Card,1,0,Offer E,DSL,0,Yes,0.0,0
94.2,Farmington,95230,37.956963,-120.863055,50,59.45,0,2607.6,17.0,29,2,2687.05,0,Month-to-Month,Bank Withdrawal,5,20,No Offer,Fiber Optic,1,Yes,0.0,0
81.25,Tulelake,96134,41.813521,-121.492666,25,351.36,0,5567.55,69.0,64,5,5958.91,0,One Year,Bank Withdrawal,7,40,No Offer,DSL,4,No,0.0,0
99.95,Coleville,96107,38.42528,-119.475741,35,950.82,1,3767.4,53.0,39,24,4718.22,3,Month-to-Month,Credit Card,6,0,No Offer,Fiber Optic,1,Yes,0.0,0
91.55,Ojai,93023,34.581308,-118.931948,72,1765.6,0,3673.6,23.0,40,44,5439.2,0,Two Year,Bank Withdrawal,3,0,No Offer,Fiber Optic,0,Yes,0.0,0
104.5,Desert Hot Springs,92241,33.832799,-116.250973,51,1507.6,0,4036.85,15.0,40,37,5544.45,0,Month-to-Month,Credit Card,7,0,No Offer,Fiber Optic,2,Yes,0.0,1
95.0,North Hollywood,91605,34.207295,-118.400022,78,127.49,0,1120.3,29.0,11,11,1367.79,1,Month-to-Month,Bank Withdrawal,4,120,Offer D,Fiber Optic,1,Yes,0.0,1
50.35,Inverness,94937,38.099323,-122.945723,30,255.96,10,314.55,85.0,6,42,570.51,0,Month-to-Month,Bank Withdrawal,2,0,Offer E,Cable,0,No,0.0,0
64.5,Santa Rosa,95404,38.526941,-122.709096,58,79.2,0,1888.45,15.0,30,2,1967.65,0,Month-to-Month,Mailed Check,5,0,No Offer,DSL,1,Yes,0.0,0
19.4,San Jose,95131,37.387027,-121.897775,26,557.82,0,529.8,0.0,27,20,1087.62,0,Month-to-Month,Bank Withdrawal,0,0,No Offer,No Internet,0,Yes,0.0,0
104.8,Wilmington,90744,33.782068,-118.262263,66,2764.3,3,7308.95,28.0,70,39,10067.14,0,One Year,Bank Withdrawal,6,0,No Offer,Fiber Optic,2,Yes,6.11,0
109.4,Modesto,95357,37.670526,-120.877572,20,456.57,10,6252.7,73.0,57,8,6709.27,0,One Year,Bank Withdrawal,8,0,Offer B,Fiber Optic,3,Yes,0.0,0
50.3,San Diego,92113,32.697098,-117.116587,61,1065.46,10,2878.55,18.0,58,18,3933.78,0,One Year,Credit Card,2,0,No Offer,DSL,1,No,10.23,0
71.4,Rancho Palos Verdes,90275,33.753146,-118.367459,24,411.36,0,1212.1,48.0,16,25,1623.46,0,Month-to-Month,Bank Withdrawal,6,0,No Offer,DSL,2,Yes,0.0,0
116.0,Kenwood,95452,38.419525,-122.521585,55,2657.88,3,8182.85,27.0,69,38,10840.73,0,Two Year,Bank Withdrawal,9,0,Offer A,Fiber Optic,4,Yes,0.0,0
19.85,West Point,95255,38.41935,-120.469545,32,31.77,0,19.85,0.0,1,31,51.62,0,Month-to-Month,Bank Withdrawal,0,0,Offer E,No Internet,0,Yes,0.0,1
99.75,Los Angeles,90062,34.003553,-118.308933,59,40.71,0,99.75,25.0,1,40,140.46,0,Month-to-Month,Bank Withdrawal,6,0,No Offer,Fiber Optic,1,Yes,0.0,1
93.95,Morongo Valley,92256,34.097863,-116.594561,71,1019.52,9,2861.45,23.0,32,31,3880.97,1,One Year,Mailed Check,5,0,Offer C,Fiber Optic,1,Yes,0.0,0
90.8,Palo Verde,92266,33.3249,-114.758334,49,779.36,8,1442.2,12.0,16,48,2221.56,2,Month-to-Month,Bank Withdrawal,4,0,Offer D,Fiber Optic,1,Yes,0.0,0
84.35,Valyermo,93563,34.39583,-117.734568,61,1937.95,1,4059.35,10.0,49,39,5997.3,0,One Year,Bank Withdrawal,8,0,Offer B,Cable,3,No,0.0,1
58.25,Cambria,93428,35.591387,-121.032256,40,0.0,2,4145.9,29.0,71,0,4145.9,0,Two Year,Bank Withdrawal,7,0,Offer A,Cable,3,No,0.0,0
107.55,Round Mountain,96084,40.923558,-122.059933,39,1639.77,0,3645.5,12.0,33,49,5285.27,0,Month-to-Month,Bank Withdrawal,7,0,No Offer,Fiber Optic,2,No,0.0,0
19.95,Klamath,95548,41.572813,-124.035011,21,496.0,9,187.75,0.0,10,49,683.75,0,Month-to-Month,Bank Withdrawal,0,0,Offer D,No Internet,0,Yes,0.0,0
111.2,Fresno,93650,36.841655,-119.797113,24,761.46,1,2317.1,59.0,21,36,3198.56,0,Month-to-Month,Bank Withdrawal,8,120,No Offer,Fiber Optic,3,Yes,0.0,1
40.2,Angwin,94508,38.542448,-122.419923,52,0.0,1,1448.8,23.0,37,0,1448.8,1,Month-to-Month,Bank Withdrawal,4,0,No Offer,DSL,3,No,0.0,1
85.8,Le Grand,95333,37.249377,-120.249581,71,877.24,0,2193.65,7.0,26,33,3070.89,0,Month-to-Month,Credit Card,3,0,No Offer,Fiber Optic,1,Yes,0.0,0
35.4,Redway,95560,40.142256,-123.852927,45,0.0,0,1748.9,7.0,50,0,1748.9,0,One Year,Credit Card,3,0,Offer B,DSL,2,Yes,0.0,0
73.85,San Diego,92122,32.85723,-117.209774,29,200.34,0,511.25,26.0,7,28,698.56,0,Month-to-Month,Bank Withdrawal,3,0,No Offer,Fiber Optic,0,Yes,13.03,1
88.1,Monterey Park,91755,34.049172,-118.115022,62,2878.59,1,5526.75,28.0,61,47,8405.34,0,Two Year,Mailed Check,9,0,Offer B,DSL,4,No,0.0,0
101.35,Big Oak Flat,95305,37.818589,-120.256995,42,688.8,0,1553.95,12.0,15,45,2242.75,0,Month-to-Month,Bank Withdrawal,6,0,Offer D,Fiber Optic,2,Yes,0.0,1
45.8,Stevenson Ranch,91381,34.364153,-118.615583,51,0.0,0,1147.0,19.0,26,0,1147.0,2,Month-to-Month,Credit Card,5,0,No Offer,DSL,2,No,0.0,0
94.65,North Highlands,95660,38.671295,-121.388251,39,2391.84,9,6747.35,23.0,72,33,9139.19,0,Month-to-Month,Bank Withdrawal,5,0,No Offer,Fiber Optic,1,Yes,0.0,0
20.5,La Puente,91746,34.038983,-117.991372,64,1205.6,1,865.05,0.0,44,27,2070.65,0,One Year,Bank Withdrawal,0,0,No Offer,No Internet,0,Yes,0.0,0
89.4,Glenhaven,95443,39.045246,-122.743181,55,3219.48,0,5976.9,8.0,66,48,9200.36,0,Month-to-Month,Credit Card,5,40,Offer A,Fiber Optic,1,No,36.02,0
86.25,Alhambra,91803,34.074736,-118.145959,40,73.62,0,181.65,16.0,2,36,255.27,0,Month-to-Month,Bank Withdrawal,4,0,No Offer,Fiber Optic,3,Yes,0.0,1
74.85,Santa Monica,90403,34.031529,-118.491156,76,339.68,0,3268.05,17.0,44,7,3589.82,0,One Year,Bank Withdrawal,6,0,No Offer,DSL,2,No,17.91,0
89.75,Lodi,95240,38.123544,-121.159078,57,172.56,0,1052.4,6.0,12,14,1224.96,0,Month-to-Month,Bank Withdrawal,4,0,Offer D,Fiber Optic,1,Yes,0.0,1
109.95,Los Angeles,90001,33.973616,-118.24902,71,1270.29,1,7634.25,17.0,69,18,8904.54,0,Two Year,Bank Withdrawal,7,0,No Offer,Fiber Optic,3,Yes,0.0,0
80.2,Fairfield,94533,38.287136,-122.02711,25,1.23,0,80.2,69.0,1,1,81.43,0,Month-to-Month,Mailed Check,3,0,Offer E,Fiber Optic,1,Yes,0.0,1
19.85,Stockton,95204,37.974498,-121.319568,24,77.25,0,63.75,0.0,3,25,141.0,0,Month-to-Month,Credit Card,0,0,Offer E,No Internet,0,No,0.0,1
90.35,Temecula,92592,33.507255,-117.029473,19,9.3,10,190.5,53.0,2,4,199.8,0,Month-to-Month,Bank Withdrawal,4,0,No Offer,Fiber Optic,2,No,0.0,0
86.45,Fallbrook,92028,33.362575,-117.299644,77,80.19,0,2401.05,4.0,27,2,2481.24,0,Two Year,Bank Withdrawal,4,0,No Offer,Fiber Optic,2,Yes,0.0,0
20.3,Randsburg,93554,35.405722,-117.773354,57,346.84,0,511.25,0.0,26,13,858.09,0,Month-to-Month,Bank Withdrawal,0,0,Offer C,No Internet,0,Yes,0.0,0
101.25,Atascadero,93422,35.453912,-120.69461,73,785.85,9,3949.15,21.0,39,20,4735.0,0,Month-to-Month,Bank Withdrawal,6,0,No Offer,Fiber Optic,1,Yes,0.0,0
94.7,Planada,95365,37.329725,-120.306399,41,872.0,0,2362.1,8.0,25,34,3234.1,0,Month-to-Month,Bank Withdrawal,5,0,No Offer,Fiber Optic,0,Yes,0.0,1
70.9,Moorpark,93021,34.312945,-118.858169,43,39.81,0,70.9,23.0,1,39,110.71,0,Month-to-Month,Mailed Check,1,0,Offer E,Fiber Optic,0,No,0.0,1
54.2,Solvang,93463,34.624399,-120.137875,48,599.28,1,1152.7,21.0,22,27,1751.98,0,Month-to-Month,Bank Withdrawal,3,0,Offer D,DSL,2,Yes,0.0,1
114.9,Calistoga,94515,38.629618,-122.593216,56,3482.64,0,8496.7,5.0,72,48,11979.34,0,Two Year,Bank Withdrawal,9,0,Offer A,Fiber Optic,4,Yes,0.0,0
19.55,La Mirada,90638,33.902045,-118.008961,51,255.36,0,470.2,0.0,24,10,725.56,0,Two Year,Bank Withdrawal,0,0,No Offer,No Internet,0,Yes,0.0,0
86.85,Boron,93516,34.95703,-117.73045,34,148.96,8,1564.4,16.0,19,7,1713.36,0,Month-to-Month,Bank Withdrawal,3,0,No Offer,Fiber Optic,0,Yes,0.0,0
25.35,San Marcos,92078,33.119028,-117.166036,21,653.2,2,1847.55,0.0,71,9,2500.75,2,Two Year,Credit Card,1,0,No Offer,No Internet,0,No,0.0,0
109.9,Desert Center,92239,33.889605,-115.257009,78,829.95,7,3694.7,20.0,33,25,4524.65,0,One Year,Bank Withdrawal,7,0,No Offer,Fiber Optic,3,Yes,0.0,0
19.95,Crows Landing,95313,37.435664,-121.049056,60,8.07,0,58.0,0.0,3,2,66.07,0,Month-to-Month,Credit Card,0,0,No Offer,No Internet,0,No,0.0,0
87.2,Tuolumne,95379,37.939768,-120.188002,54,51.23,7,4017.45,13.0,47,1,4068.68,1,Month-to-Month,Bank Withdrawal,4,0,No Offer,Fiber Optic,1,No,0.0,0
108.15,San Diego,92120,32.807867,-117.060993,42,109.12,2,6825.65,20.0,62,1,6934.77,3,Two Year,Credit Card,8,0,No Offer,Fiber Optic,4,No,0.0,0
116.3,Auburn,95603,38.912881,-121.082766,22,204.48,0,8309.55,48.0,71,2,8514.03,0,One Year,Bank Withdrawal,9,0,No Offer,Fiber Optic,4,Yes,0.0,0
89.0,Fresno,93725,36.623632,-119.741322,71,293.79,8,605.45,11.0,7,41,899.24,0,Two Year,Bank Withdrawal,4,0,No Offer,Fiber Optic,0,Yes,0.0,0
74.4,Del Rey,93616,36.657462,-119.595293,56,1259.82,6,1972.35,28.0,27,46,3232.17,2,Month-to-Month,Credit Card,2,0,Offer C,Fiber Optic,1,No,0.0,0
20.05,Redwood City,94065,37.527497,-122.230941,33,3.62,0,33.7,0.0,2,1,37.32,0,Month-to-Month,Credit Card,0,0,No Offer,No Internet,0,No,0.0,0
35.05,Landers,92285,34.341737,-116.539416,32,0.0,0,844.45,75.0,25,0,844.45,3,Two Year,Bank Withdrawal,3,0,Offer C,Cable,2,No,0.0,0
74.75,Hawthorne,90250,33.914775,-118.348083,80,1158.3,0,2111.3,5.0,30,38,3269.6,0,One Year,Bank Withdrawal,5,0,No Offer,DSL,2,Yes,0.0,0
105.5,Oceano,93445,35.059695,-120.604741,73,982.52,1,6205.5,19.0,58,16,7188.02,0,One Year,Credit Card,7,0,No Offer,Fiber Optic,3,Yes,0.0,1
85.25,Armona,93202,36.315979,-119.710852,26,20.2,1,855.3,82.0,10,2,975.5,0,Month-to-Month,Bank Withdrawal,4,100,Offer D,Fiber Optic,0,Yes,0.0,1
75.2,Clarksburg,95612,38.384648,-121.578701,59,83.43,0,633.85,28.0,9,9,717.28,0,Month-to-Month,Credit Card,2,0,No Offer,Fiber Optic,0,Yes,0.0,0
84.35,Irvine,92620,33.716136,-117.752574,78,172.26,1,474.9,17.0,6,28,647.16,0,Month-to-Month,Bank Withdrawal,3,0,No Offer,Fiber Optic,0,Yes,0.0,1
84.45,Scotts Valley,95066,37.070177,-122.010077,47,2685.48,7,5848.6,16.0,69,38,8574.08,1,One Year,Bank Withdrawal,4,40,No Offer,Fiber Optic,2,No,0.0,0
102.4,Salida,95368,37.713152,-121.08739,68,689.7,0,6471.85,20.0,66,10,7161.55,0,Two Year,Bank Withdrawal,6,0,No Offer,Fiber Optic,1,Yes,0.0,0
115.55,Mckinleyville,95519,40.965011,-124.015255,30,714.7,0,8127.6,52.0,70,10,8842.3,0,One Year,Credit Card,9,0,Offer A,Fiber Optic,4,No,0.0,1
25.3,Atherton,94027,37.454924,-122.203168,62,139.25,0,676.35,0.0,25,5,815.6,0,One Year,Bank Withdrawal,1,0,Offer C,No Internet,0,No,0.0,1
19.25,Huntington Beach,92649,33.721917,-118.043237,52,1119.18,1,864.2,0.0,46,24,1983.38,2,Two Year,Credit Card,0,0,Offer B,No Internet,0,Yes,0.0,0
114.65,Calimesa,92320,33.982787,-117.057627,63,615.6,7,6049.5,26.0,54,11,6665.1,0,One Year,Credit Card,9,0,Offer B,Fiber Optic,4,Yes,0.0,0
105.1,Daly City,94014,37.691561,-122.445202,54,335.85,0,1582.75,7.0,15,22,1918.6,0,Month-to-Month,Bank Withdrawal,7,0,No Offer,Fiber Optic,3,No,0.0,1
19.4,Middletown,95461,38.787446,-122.58675,48,99.0,0,198.1,0.0,12,8,297.1,1,Month-to-Month,Bank Withdrawal,0,0,Offer D,No Internet,0,No,0.0,0
50.35,Berkeley,94705,37.858898,-122.240512,51,0.0,0,1098.85,22.0,22,0,1098.85,0,Month-to-Month,Bank Withdrawal,5,0,No Offer,Cable,1,Yes,0.0,0
57.8,Lost Hills,93249,35.637715,-119.893068,22,0.0,9,4039.3,85.0,70,0,4038.29,0,Two Year,Bank Withdrawal,7,0,No Offer,Cable,3,No,1.01,0
84.3,Garden Grove,92844,33.766476,-117.969795,52,741.9,0,2438.6,20.0,30,24,3310.5,0,Month-to-Month,Credit Card,4,130,Offer C,Fiber Optic,3,Yes,0.0,0
100.55,Indio,92203,33.752938,-116.230055,22,2012.14,1,7113.75,59.0,71,28,9108.9,1,One Year,Bank Withdrawal,6,0,Offer A,Fiber Optic,1,No,16.99,0
19.8,Oxnard,93033,34.156629,-119.117218,33,294.3,2,576.65,0.0,30,9,870.95,0,One Year,Credit Card,0,0,No Offer,No Internet,0,No,0.0,0
84.8,San Diego,92122,32.85723,-117.209774,26,115.08,5,371.9,19.0,4,28,486.98,0,Month-to-Month,Bank Withdrawal,5,0,Offer E,Fiber Optic,2,Yes,0.0,1
85.85,Escondido,92027,33.141265,-116.967221,58,28.28,0,167.3,28.0,2,14,195.58,0,Month-to-Month,Bank Withdrawal,4,0,Offer E,Fiber Optic,1,Yes,0.0,1
19.95,Moreno Valley,92553,33.923149,-117.244933,22,78.6,0,219.5,0.0,10,7,298.1,1,One Year,Bank Withdrawal,0,0,No Offer,No Internet,0,Yes,0.0,0
75.35,Chino,91710,33.990646,-117.663025,66,145.6,0,273.4,29.0,4,36,419.0,0,One Year,Bank Withdrawal,2,0,Offer E,Fiber Optic,1,No,0.0,0
48.8,Sacramento,95820,38.53508,-121.444144,69,0.0,0,2555.05,19.0,52,0,2555.05,0,Two Year,Credit Card,5,0,Offer B,DSL,1,Yes,0.0,0
47.15,San Diego,92117,32.825086,-117.199424,25,110.05,0,223.15,85.0,5,22,333.2,0,Month-to-Month,Bank Withdrawal,3,0,No Offer,Cable,0,No,0.0,1
20.15,Turlock,95380,37.474396,-120.875917,30,22.96,1,165.5,0.0,8,2,188.46,3,Two Year,Credit Card,0,0,Offer E,No Internet,0,No,0.0,0
44.3,Calexico,92231,32.690654,-115.431225,73,47.82,0,89.3,22.0,2,23,137.12,0,One Year,Bank Withdrawal,1,0,Offer E,Cable,0,Yes,0.0,0
84.3,Groveland,95321,37.902968,-119.667544,46,41.16,0,235.05,26.0,3,13,276.21,0,Month-to-Month,Bank Withdrawal,4,0,Offer E,Fiber Optic,1,No,0.0,0
59.55,Los Gatos,95033,37.160194,-121.945611,40,225.15,0,1144.6,18.0,19,11,1369.75,0,Month-to-Month,Bank Withdrawal,4,0,Offer D,DSL,2,No,0.0,0
69.65,Clovis,93611,36.917652,-119.593757,53,263.52,0,4908.25,13.0,72,3,5171.77,0,Two Year,Bank Withdrawal,6,0,Offer A,DSL,4,No,0.0,0
36.1,Hyampom,96046,40.648024,-123.465088,76,0.0,2,2298.9,7.0,63,0,2298.9,0,One Year,Bank Withdrawal,3,0,Offer B,DSL,2,No,0.0,0
56.6,Woodland Hills,91364,34.153733,-118.593408,38,0.0,1,3789.2,29.0,66,0,3789.2,0,Two Year,Bank Withdrawal,6,0,No Offer,DSL,4,Yes,0.0,0
75.9,Temecula,92592,33.507255,-117.029473,23,44.56,0,75.9,27.0,1,44,120.46,0,Month-to-Month,Bank Withdrawal,2,0,No Offer,Fiber Optic,1,Yes,0.0,1
79.2,Livingston,95334,37.361987,-120.748394,24,917.4,0,4765.0,48.0,60,15,5682.4,0,One Year,Bank Withdrawal,3,0,No Offer,Fiber Optic,1,Yes,0.0,0
45.0,Tulare,93274,36.185471,-119.375243,43,0.0,3,2196.3,22.0,48,0,2196.3,3,One Year,Credit Card,5,0,No Offer,DSL,2,No,0.0,0
85.55,Buellton,93427,34.631362,-120.238218,45,33.34,0,85.55,4.0,1,33,118.89,0,Month-to-Month,Credit Card,3,0,Offer E,Fiber Optic,1,Yes,0.0,1
93.35,Palmdale,93552,34.557711,-118.029441,49,733.95,0,1444.65,15.0,15,48,2178.6,0,Month-to-Month,Bank Withdrawal,5,0,No Offer,Fiber Optic,0,Yes,0.0,1
109.65,Midway City,92655,33.744439,-117.98588,62,1728.5,4,5405.8,13.0,50,34,7134.3,0,Month-to-Month,Bank Withdrawal,8,0,Offer B,Fiber Optic,3,Yes,0.0,0
89.7,Folsom,95630,38.672638,-121.147403,25,2430.0,10,6339.3,30.0,72,33,8769.3,1,Two Year,Credit Card,9,0,Offer A,Cable,4,No,0.0,0
84.25,Oakland,94619,37.787186,-122.14633,37,1990.42,0,3847.6,21.0,46,43,5938.02,0,Month-to-Month,Credit Card,4,100,No Offer,Fiber Optic,2,No,0.0,0
