monthly_charge,city,zip_code,longitude,age,latitude,total_long_distance_charges,tenure_in_months,total_revenue,number_of_referrals,total_charges,avg_monthly_long_distance_charges,avg_monthly_gb_download,contract,number_of_dependents,payment_method,offer,engagement_score,paperless_billing,num_addon_services,gender,married,internet_type,customer_status
25.1,Morgan Hill,95037,-121.649371,67,37.161544,0.0,1,25.1,0,25.1,0,9.0,Month-to-Month,0,Bank Withdrawal,No Offer,1,Yes,0,Male,No,Cable,1
25.2,Ahwahnee,93601,-119.739935,79,37.375816,1571.5,50,2877.8,0,1306.3,31,0.0,One Year,0,Bank Withdrawal,No Offer,1,No,0,Female,Yes,No Internet,0
94.1,Carnelian Bay,96140,-120.091806,26,39.227434,566.28,13,1781.88,1,1215.6,43,52.0,Month-to-Month,0,Bank Withdrawal,No Offer,5,No,2,Female,Yes,Fiber Optic,1
83.75,Alpaugh,93201,-119.498771,30,35.869626,802.93,23,2652.88,1,1849.95,34,30.0,Month-to-Month,2,Bank Withdrawal,Offer D,3,Yes,0,Female,Yes,Fiber Optic,0
19.85,Keeler,93530,-117.962461,22,36.560498,9.36,3,66.56,0,57.2,3,0.0,Month-to-Month,0,Credit Card,No Offer,0,No,0,Female,No,No Internet,0
20.35,Korbel,95550,-123.80458,34,40.7666,49.72,4,126.07,0,76.35,12,0.0,Month-to-Month,0,Credit Card,Offer E,0,No,0,Female,Yes,No Internet,1
30.5,Palomar Mountain,92060,-116.823091,37,33.309852,0.0,1,30.5,1,30.5,0,19.0,Month-to-Month,1,Bank Withdrawal,No Offer,2,No,1,Female,Yes,DSL,1
103.7,Parlier,93648,-119.521126,37,36.622237,1927.2,55,7603.95,10,5656.75,35,57.0,One Year,3,Bank Withdrawal,No Offer,7,Yes,3,Female,Yes,Fiber Optic,0
20.4,Modesto,95358,-121.108568,42,37.612612,1063.8,54,2154.4,3,1090.6,19,0.0,Two Year,3,Credit Card,No Offer,0,No,0,Male,Yes,No Internet,0
19.6,Glen Ellen,95442,-122.522642,64,38.368744,980.2,26,1430.8,0,471.85,37,0.0,One Year,0,Bank Withdrawal,Offer C,0,Yes,0,Male,No,No Internet,0
19.7,Eureka,95503,-124.108897,47,40.737431,2648.91,69,4045.81,5,1396.9,38,0.0,Two Year,3,Bank Withdrawal,No Offer,0,No,0,Female,Yes,No Internet,0
91.2,Moss Beach,94038,-122.502311,23,37.515556,1591.37,37,4838.92,1,3247.55,43,51.0,One Year,3,Credit Card,Offer C,4,No,0,Male,Yes,Fiber Optic,0
20.45,Los Angeles,90058,-118.222274,48,34.001617,2429.42,49,3330.32,5,900.9,49,0.0,One Year,0,Bank Withdrawal,Offer B,0,No,0,Female,Yes,No Internet,0
-2.0,Los Angeles,90063,-118.185237,28,34.044271,2888.82,66,10830.97,9,7942.15,43,41.0,One Year,0,Bank Withdrawal,No Offer,9,No,4,Male,Yes,Fiber Optic,0
20.55,Calexico,92231,-115.431225,28,32.690654,1549.04,67,2861.91,0,1343.4,23,0.0,One Year,0,Bank Withdrawal,No Offer,0,No,0,Female,No,No Internet,0
39.4,Redding,96003,-122.29467,33,40.677649,0.0,20,825.4,4,825.4,0,22.0,Two Year,1,Credit Card,No Offer,4,Yes,3,Male,Yes,Cable,0
25.1,San Martin,95046,-121.606417,31,37.084697,1317.52,43,2387.67,0,1070.15,30,0.0,Two Year,3,Bank Withdrawal,No Offer,1,Yes,0,Female,No,No Internet,0
89.8,Stockton,95209,-121.348048,37,38.044523,279.4,55,5239.0,2,4959.6,5,9.0,Month-to-Month,0,Bank Withdrawal,Offer B,4,Yes,1,Female,Yes,Fiber Optic,0
94.75,Los Angeles,90003,-118.272783,60,33.964131,967.01,59,6564.66,4,5597.65,16,14.0,Month-to-Month,0,Bank Withdrawal,Offer B,5,Yes,2,Female,Yes,Fiber Optic,0
20.3,Huntington Park,90255,-118.217141,48,33.97803,231.36,12,455.86,3,224.5,19,0.0,Two Year,3,Bank Withdrawal,No Offer,0,No,0,Female,Yes,No Internet,0
75.75,Yermo,92398,-116.834092,60,35.013299,682.02,27,2611.02,7,1929.0,25,23.0,Month-to-Month,3,Bank Withdrawal,Offer C,2,Yes,0,Male,Yes,Fiber Optic,0
49.25,San Diego,92129,-117.134917,69,32.961064,87.98,2,179.08,0,91.1,43,27.0,Month-to-Month,0,Bank Withdrawal,No Offer,2,Yes,1,Male,No,DSL,1
78.2,Fremont,94539,-121.899117,20,37.516791,1320.57,27,3399.52,0,2078.95,48,59.0,One Year,0,Credit Card,Offer C,7,No,3,Female,No,DSL,0
25.5,Santa Rosa,95405,-122.668817,31,38.439696,592.25,25,1178.43,1,630.6,23,0.0,Two Year,3,Credit Card,No Offer,1,No,0,Male,Yes,No Internet,0
61.6,San Jose,95126,-121.916819,46,37.327069,161.25,25,1727.35,5,1611.0,6,19.0,One Year,0,Bank Withdrawal,No Offer,4,Yes,3,Male,Yes,Cable,0
45.0,Tujunga,91042,-118.244839,57,34.296574,0.0,29,1230.19,0,1242.45,0,21.0,Month-to-Month,1,Credit Card,No Offer,5,Yes,4,Male,No,DSL,0
85.15,Visalia,93291,-119.372842,19,36.391777,2329.92,72,8646.12,5,6316.2,32,52.0,Two Year,0,Bank Withdrawal,No Offer,8,Yes,3,Male,Yes,DSL,0
51.45,Lodi,95240,-121.159078,64,38.123544,336.56,14,1064.41,0,727.85,24,12.0,One Year,0,Credit Card,No Offer,2,No,1,Female,No,Cable,0
99.25,El Portal,95318,-119.822984,38,37.654551,1274.7,35,4806.7,0,3532.0,36,2.0,One Year,0,Bank Withdrawal,Offer C,6,Yes,2,Female,No,Fiber Optic,0
44.3,Calistoga,94515,-122.593216,54,38.629618,42.95,1,87.25,0,44.3,42,9.0,Month-to-Month,0,Credit Card,Offer E,1,Yes,0,Male,No,DSL,0
94.2,Farmington,95230,-120.863055,50,37.956963,59.45,29,2687.05,0,2607.6,2,17.0,Month-to-Month,0,Bank Withdrawal,No Offer,5,Yes,1,Male,No,Fiber Optic,0
81.25,Tulelake,96134,-121.492666,25,41.813521,351.36,64,5958.91,0,5567.55,5,69.0,One Year,0,Bank Withdrawal,No Offer,7,No,4,Male,No,DSL,0
99.95,Coleville,96107,-119.475741,35,38.42528,950.82,39,4718.22,1,3767.4,24,53.0,Month-to-Month,3,Credit Card,No Offer,6,Yes,1,Female,Yes,Fiber Optic,0
91.55,Ojai,93023,-118.931948,72,34.581308,1765.6,40,5439.2,0,3673.6,44,23.0,Two Year,0,Bank Withdrawal,No Offer,3,Yes,0,Female,No,Fiber Optic,0
104.5,Desert Hot Springs,92241,-116.250973,51,33.832799,1507.6,40,5544.45,0,4036.85,37,15.0,Month-to-Month,0,Credit Card,No Offer,7,Yes,2,Male,No,Fiber Optic,1
95.0,North Hollywood,91605,-118.400022,78,34.207295,127.49,11,1367.79,0,1120.3,11,29.0,Month-to-Month,1,Bank Withdrawal,Offer D,4,Yes,1,Female,No,Fiber Optic,1
50.35,Inverness,94937,-122.945723,30,38.099323,255.96,6,570.51,10,314.55,42,85.0,Month-to-Month,0,Bank Withdrawal,Offer E,2,No,0,Female,Yes,Cable,0
64.5,Santa Rosa,95404,-122.709096,58,38.526941,79.2,30,1967.65,0,1888.45,2,15.0,Month-to-Month,0,Mailed Check,No Offer,5,Yes,1,Male,No,DSL,0
19.4,San Jose,95131,-121.897775,26,37.387027,557.82,27,1087.62,0,529.8,20,0.0,Month-to-Month,0,Bank Withdrawal,No Offer,0,Yes,0,Male,No,No Internet,0
104.8,Wilmington,90744,-118.262263,66,33.782068,2764.3,70,10067.14,3,7308.95,39,28.0,One Year,0,Bank Withdrawal,No Offer,6,Yes,2,Male,Yes,Fiber Optic,0
109.4,Modesto,95357,-120.877572,20,37.670526,456.57,57,6709.27,10,6252.7,8,73.0,One Year,0,Bank Withdrawal,Offer B,8,Yes,3,Female,Yes,Fiber Optic,0
50.3,San Diego,92113,-117.116587,61,32.697098,1065.46,58,3933.78,10,2878.55,18,18.0,One Year,0,Credit Card,No Offer,2,No,1,Male,Yes,DSL,0
71.4,Rancho Palos Verdes,90275,-118.367459,24,33.753146,411.36,16,1623.46,0,1212.1,25,48.0,Month-to-Month,0,Bank Withdrawal,No Offer,6,Yes,2,Male,No,DSL,0
116.0,Kenwood,95452,-122.521585,55,38.419525,2657.88,69,10840.73,3,8182.85,38,27.0,Two Year,0,Bank Withdrawal,Offer A,9,Yes,4,Female,Yes,Fiber Optic,0
19.85,West Point,95255,-120.469545,32,38.41935,31.77,1,51.62,0,19.85,31,0.0,Month-to-Month,0,Bank Withdrawal,Offer E,0,Yes,0,Male,No,No Internet,1
99.75,Los Angeles,90062,-118.308933,59,34.003553,40.71,1,140.46,0,99.75,40,25.0,Month-to-Month,0,Bank Withdrawal,No Offer,6,Yes,1,Male,No,Fiber Optic,1
93.95,Morongo Valley,92256,-116.594561,71,34.097863,1019.52,32,3880.97,9,2861.45,31,23.0,One Year,1,Mailed Check,Offer C,5,Yes,1,Male,Yes,Fiber Optic,0
90.8,Palo Verde,92266,-114.758334,49,33.3249,779.36,16,2221.56,8,1442.2,48,12.0,Month-to-Month,2,Bank Withdrawal,Offer D,4,Yes,1,Male,Yes,Fiber Optic,0
84.35,Valyermo,93563,-117.734568,61,34.39583,1937.95,49,5997.3,1,4059.35,39,10.0,One Year,0,Bank Withdrawal,Offer B,8,No,3,Male,Yes,Cable,1
58.25,Cambria,93428,-121.032256,40,35.591387,0.0,71,4145.9,2,4145.9,0,29.0,Two Year,0,Bank Withdrawal,Offer A,7,No,3,Female,Yes,Cable,0
107.55,Round Mountain,96084,-122.059933,39,40.923558,1639.77,33,5285.27,0,3645.5,49,12.0,Month-to-Month,0,Bank Withdrawal,No Offer,7,No,2,Female,No,Fiber Optic,0
19.95,Klamath,95548,-124.035011,21,41.572813,496.0,10,683.75,9,187.75,49,0.0,Month-to-Month,0,Bank Withdrawal,Offer D,0,Yes,0,Female,Yes,No Internet,0
111.2,Fresno,93650,-119.797113,24,36.841655,761.46,21,3198.56,1,2317.1,36,59.0,Month-to-Month,0,Bank Withdrawal,No Offer,8,Yes,3,Male,Yes,Fiber Optic,1
40.2,Angwin,94508,-122.419923,52,38.542448,0.0,37,1448.8,1,1448.8,0,23.0,Month-to-Month,1,Bank Withdrawal,No Offer,4,No,3,Male,Yes,DSL,1
85.8,Le Grand,95333,-120.249581,71,37.249377,877.24,26,3070.89,0,2193.65,33,7.0,Month-to-Month,0,Credit Card,No Offer,3,Yes,1,Female,No,Fiber Optic,0
35.4,Redway,95560,-123.852927,45,40.142256,0.0,50,1748.9,0,1748.9,0,7.0,One Year,0,Credit Card,Offer B,3,Yes,2,Male,No,DSL,0
73.85,San Diego,92122,-117.209774,29,32.85723,200.34,7,698.56,0,511.25,28,26.0,Month-to-Month,0,Bank Withdrawal,No Offer,3,Yes,0,Female,No,Fiber Optic,1
88.1,Monterey Park,91755,-118.115022,62,34.049172,2878.59,61,8405.34,1,5526.75,47,28.0,Two Year,0,Mailed Check,Offer B,9,No,4,Female,Yes,DSL,0
101.35,Big Oak Flat,95305,-120.256995,42,37.818589,688.8,15,2242.75,0,1553.95,45,12.0,Month-to-Month,0,Bank Withdrawal,Offer D,6,Yes,2,Male,No,Fiber Optic,1
45.8,Stevenson Ranch,91381,-118.615583,51,34.364153,0.0,26,1147.0,0,1147.0,0,19.0,Month-to-Month,2,Credit Card,No Offer,5,No,2,Female,No,DSL,0
94.65,North Highlands,95660,-121.388251,39,38.671295,2391.84,72,9139.19,9,6747.35,33,23.0,Month-to-Month,0,Bank Withdrawal,No Offer,5,Yes,1,Male,Yes,Fiber Optic,0
20.5,La Puente,91746,-117.991372,64,34.038983,1205.6,44,2070.65,1,865.05,27,0.0,One Year,0,Bank Withdrawal,No Offer,0,Yes,0,Male,Yes,No Internet,0
89.4,Glenhaven,95443,-122.743181,55,39.045246,3219.48,66,9200.36,0,5976.9,48,8.0,Month-to-Month,0,Credit Card,Offer A,5,No,1,Male,No,Fiber Optic,0
86.25,Alhambra,91803,-118.145959,40,34.074736,73.62,2,255.27,0,181.65,36,16.0,Month-to-Month,0,Bank Withdrawal,No Offer,4,Yes,3,Female,No,Fiber Optic,1
74.85,Santa Monica,90403,-118.491156,76,34.031529,339.68,44,3589.82,0,3268.05,7,17.0,One Year,0,Bank Withdrawal,No Offer,6,No,2,Female,No,DSL,0
89.75,Lodi,95240,-121.159078,57,38.123544,172.56,12,1224.96,0,1052.4,14,6.0,Month-to-Month,0,Bank Withdrawal,Offer D,4,Yes,1,Female,No,Fiber Optic,1
109.95,Los Angeles,90001,-118.24902,71,33.973616,1270.29,69,8904.54,1,7634.25,18,17.0,Two Year,0,Bank Withdrawal,No Offer,7,Yes,3,Male,Yes,Fiber Optic,0
80.2,Fairfield,94533,-122.02711,25,38.287136,1.23,1,81.43,0,80.2,1,69.0,Month-to-Month,0,Mailed Check,Offer E,3,Yes,1,Female,No,Fiber Optic,1
19.85,Stockton,95204,-121.319568,24,37.974498,77.25,3,141.0,0,63.75,25,0.0,Month-to-Month,0,Credit Card,Offer E,0,No,0,Female,No,No Internet,1
90.35,Temecula,92592,-117.029473,19,33.507255,9.3,2,199.8,10,190.5,4,53.0,Month-to-Month,0,Bank Withdrawal,No Offer,4,No,2,Female,Yes,Fiber Optic,0
86.45,Fallbrook,92028,-117.299644,77,33.362575,80.19,27,2481.24,0,2401.05,2,4.0,Two Year,0,Bank Withdrawal,No Offer,4,Yes,2,Female,No,Fiber Optic,0
20.3,Randsburg,93554,-117.773354,57,35.405722,346.84,26,858.09,0,511.25,13,0.0,Month-to-Month,0,Bank Withdrawal,Offer C,0,Yes,0,Male,No,No Internet,0
101.25,Atascadero,93422,-120.69461,73,35.453912,785.85,39,4735.0,9,3949.15,20,21.0,Month-to-Month,0,Bank Withdrawal,No Offer,6,Yes,1,Female,Yes,Fiber Optic,0
94.7,Planada,95365,-120.306399,41,37.329725,872.0,25,3234.1,0,2362.1,34,8.0,Month-to-Month,0,Bank Withdrawal,No Offer,5,Yes,0,Male,No,Fiber Optic,1
70.9,Moorpark,93021,-118.858169,43,34.312945,39.81,1,110.71,0,70.9,39,23.0,Month-to-Month,0,Mailed Check,Offer E,1,No,0,Female,No,Fiber Optic,1
54.2,Solvang,93463,-120.137875,48,34.624399,599.28,22,1751.98,1,1152.7,27,21.0,Month-to-Month,0,Bank Withdrawal,Offer D,3,Yes,2,Male,Yes,DSL,1
114.9,Calistoga,94515,-122.593216,56,38.629618,3482.64,72,11979.34,0,8496.7,48,5.0,Two Year,0,Bank Withdrawal,Offer A,9,Yes,4,Female,No,Fiber Optic,0
19.55,La Mirada,90638,-118.008961,51,33.902045,255.36,24,725.56,0,470.2,10,0.0,Two Year,0,Bank Withdrawal,No Offer,0,Yes,0,Female,No,No Internet,0
86.85,Boron,93516,-117.73045,34,34.95703,148.96,19,1713.36,8,1564.4,7,16.0,Month-to-Month,0,Bank Withdrawal,No Offer,3,Yes,0,Female,Yes,Fiber Optic,0
25.35,San Marcos,92078,-117.166036,21,33.119028,653.2,71,2500.75,2,1847.55,9,0.0,Two Year,2,Credit Card,No Offer,1,No,0,Male,Yes,No Internet,0
109.9,Desert Center,92239,-115.257009,78,33.889605,829.95,33,4524.65,7,3694.7,25,20.0,One Year,0,Bank Withdrawal,No Offer,7,Yes,3,Male,Yes,Fiber Optic,0
19.95,Crows Landing,95313,-121.049056,60,37.435664,8.07,3,66.07,0,58.0,2,0.0,Month-to-Month,0,Credit Card,No Offer,0,No,0,Female,No,No Internet,0
87.2,Tuolumne,95379,-120.188002,54,37.939768,51.23,47,4068.68,7,4017.45,1,13.0,Month-to-Month,1,Bank Withdrawal,No Offer,4,No,1,Male,Yes,Fiber Optic,0
108.15,San Diego,92120,-117.060993,42,32.807867,109.12,62,6934.77,2,6825.65,1,20.0,Two Year,3,Credit Card,No Offer,8,No,4,Male,Yes,Fiber Optic,0
116.3,Auburn,95603,-121.082766,22,38.912881,204.48,71,8514.03,0,8309.55,2,48.0,One Year,0,Bank Withdrawal,No Offer,9,Yes,4,Male,No,Fiber Optic,0
89.0,Fresno,93725,-119.741322,71,36.623632,293.79,7,899.24,8,605.45,41,11.0,Two Year,0,Bank Withdrawal,No Offer,4,Yes,0,Male,Yes,Fiber Optic,0
74.4,Del Rey,93616,-119.595293,56,36.657462,1259.82,27,3232.17,6,1972.35,46,28.0,Month-to-Month,2,Credit Card,Offer C,2,No,1,Female,Yes,Fiber Optic,0
20.05,Redwood City,94065,-122.230941,33,37.527497,3.62,2,37.32,0,33.7,1,0.0,Month-to-Month,0,Credit Card,No Offer,0,No,0,Male,No,No Internet,0
35.05,Landers,92285,-116.539416,32,34.341737,0.0,25,844.45,0,844.45,0,75.0,Two Year,3,Bank Withdrawal,Offer C,3,No,2,Female,No,Cable,0
74.75,Hawthorne,90250,-118.348083,80,33.914775,1158.3,30,3269.6,0,2111.3,38,5.0,One Year,0,Bank Withdrawal,No Offer,5,Yes,2,Male,No,DSL,0
105.5,Oceano,93445,-120.604741,73,35.059695,982.52,58,7188.02,1,6205.5,16,19.0,One Year,0,Credit Card,No Offer,7,Yes,3,Female,Yes,Fiber Optic,1
85.25,Armona,93202,-119.710852,26,36.315979,20.2,10,975.5,1,855.3,2,82.0,Month-to-Month,0,Bank Withdrawal,Offer D,4,Yes,0,Male,Yes,Fiber Optic,1
75.2,Clarksburg,95612,-121.578701,59,38.384648,83.43,9,717.28,0,633.85,9,28.0,Month-to-Month,0,Credit Card,No Offer,2,Yes,0,Female,No,Fiber Optic,0
84.35,Irvine,92620,-117.752574,78,33.716136,172.26,6,647.16,1,474.9,28,17.0,Month-to-Month,0,Bank Withdrawal,No Offer,3,Yes,0,Female,Yes,Fiber Optic,1
84.45,Scotts Valley,95066,-122.010077,47,37.070177,2685.48,69,8574.08,7,5848.6,38,16.0,One Year,1,Bank Withdrawal,No Offer,4,No,2,Female,Yes,Fiber Optic,0
102.4,Salida,95368,-121.08739,68,37.713152,689.7,66,7161.55,0,6471.85,10,20.0,Two Year,0,Bank Withdrawal,No Offer,6,Yes,1,Female,No,Fiber Optic,0
115.55,Mckinleyville,95519,-124.015255,30,40.965011,714.7,70,8842.3,0,8127.6,10,52.0,One Year,0,Credit Card,Offer A,9,No,4,Female,No,Fiber Optic,1
25.3,Atherton,94027,-122.203168,62,37.454924,139.25,25,815.6,0,676.35,5,0.0,One Year,0,Bank Withdrawal,Offer C,1,No,0,Male,No,No Internet,1
19.25,Huntington Beach,92649,-118.043237,52,33.721917,1119.18,46,1983.38,1,864.2,24,0.0,Two Year,2,Credit Card,Offer B,0,Yes,0,Female,Yes,No Internet,0
114.65,Calimesa,92320,-117.057627,63,33.982787,615.6,54,6665.1,7,6049.5,11,26.0,One Year,0,Credit Card,Offer B,9,Yes,4,Female,Yes,Fiber Optic,0
105.1,Daly City,94014,-122.445202,54,37.691561,335.85,15,1918.6,0,1582.75,22,7.0,Month-to-Month,0,Bank Withdrawal,No Offer,7,No,3,Female,No,Fiber Optic,1
19.4,Middletown,95461,-122.58675,48,38.787446,99.0,12,297.1,0,198.1,8,0.0,Month-to-Month,1,Bank Withdrawal,Offer D,0,No,0,Female,Yes,No Internet,0
50.35,Berkeley,94705,-122.240512,51,37.858898,0.0,22,1098.85,0,1098.85,0,22.0,Month-to-Month,0,Bank Withdrawal,No Offer,5,Yes,1,Female,No,Cable,0
57.8,Lost Hills,93249,-119.893068,22,35.637715,0.0,70,4038.29,9,4039.3,0,85.0,Two Year,0,Bank Withdrawal,No Offer,7,No,3,Female,Yes,Cable,0
84.3,Garden Grove,92844,-117.969795,52,33.766476,741.9,30,3310.5,0,2438.6,24,20.0,Month-to-Month,0,Credit Card,Offer C,4,Yes,3,Male,No,Fiber Optic,0
100.55,Indio,92203,-116.230055,22,33.752938,2012.14,71,9108.9,1,7113.75,28,59.0,One Year,1,Bank Withdrawal,Offer A,6,No,1,Male,Yes,Fiber Optic,0
19.8,Oxnard,93033,-119.117218,33,34.156629,294.3,30,870.95,2,576.65,9,0.0,One Year,0,Credit Card,No Offer,0,No,0,Male,Yes,No Internet,0
84.8,San Diego,92122,-117.209774,26,32.85723,115.08,4,486.98,5,371.9,28,19.0,Month-to-Month,0,Bank Withdrawal,Offer E,5,Yes,2,Male,Yes,Fiber Optic,1
85.85,Escondido,92027,-116.967221,58,33.141265,28.28,2,195.58,0,167.3,14,28.0,Month-to-Month,0,Bank Withdrawal,Offer E,4,Yes,1,Male,No,Fiber Optic,1
19.95,Moreno Valley,92553,-117.244933,22,33.923149,78.6,10,298.1,0,219.5,7,0.0,One Year,1,Bank Withdrawal,No Offer,0,Yes,0,Male,No,No Internet,0
75.35,Chino,91710,-117.663025,66,33.990646,145.6,4,419.0,0,273.4,36,29.0,One Year,0,Bank Withdrawal,Offer E,2,No,1,Male,No,Fiber Optic,0
48.8,Sacramento,95820,-121.444144,69,38.53508,0.0,52,2555.05,0,2555.05,0,19.0,Two Year,0,Credit Card,Offer B,5,Yes,1,Male,No,DSL,0
47.15,San Diego,92117,-117.199424,25,32.825086,110.05,5,333.2,0,223.15,22,85.0,Month-to-Month,0,Bank Withdrawal,No Offer,3,No,0,Male,No,Cable,1
20.15,Turlock,95380,-120.875917,30,37.474396,22.96,8,188.46,1,165.5,2,0.0,Two Year,3,Credit Card,Offer E,0,No,0,Male,Yes,No Internet,0
44.3,Calexico,92231,-115.431225,73,32.690654,47.82,2,137.12,0,89.3,23,22.0,One Year,0,Bank Withdrawal,Offer E,1,Yes,0,Female,No,Cable,0
84.3,Groveland,95321,-119.667544,46,37.902968,41.16,3,276.21,0,235.05,13,26.0,Month-to-Month,0,Bank Withdrawal,Offer E,4,No,1,Male,No,Fiber Optic,0
59.55,Los Gatos,95033,-121.945611,40,37.160194,225.15,19,1369.75,0,1144.6,11,18.0,Month-to-Month,0,Bank Withdrawal,Offer D,4,No,2,Male,No,DSL,0
69.65,Clovis,93611,-119.593757,53,36.917652,263.52,72,5171.77,0,4908.25,3,13.0,Two Year,0,Bank Withdrawal,Offer A,6,No,4,Male,No,DSL,0
36.1,Hyampom,96046,-123.465088,76,40.648024,0.0,63,2298.9,2,2298.9,0,7.0,One Year,0,Bank Withdrawal,Offer B,3,No,2,Male,Yes,DSL,0
56.6,Woodland Hills,91364,-118.593408,38,34.153733,0.0,66,3789.2,1,3789.2,0,29.0,Two Year,0,Bank Withdrawal,No Offer,6,Yes,4,Male,Yes,DSL,0
75.9,Temecula,92592,-117.029473,23,33.507255,44.56,1,120.46,0,75.9,44,27.0,Month-to-Month,0,Bank Withdrawal,No Offer,2,Yes,1,Male,No,Fiber Optic,1
79.2,Livingston,95334,-120.748394,24,37.361987,917.4,60,5682.4,0,4765.0,15,48.0,One Year,0,Bank Withdrawal,No Offer,3,Yes,1,Female,No,Fiber Optic,0
45.0,Tulare,93274,-119.375243,43,36.185471,0.0,48,2196.3,3,2196.3,0,22.0,One Year,3,Credit Card,No Offer,5,No,2,Female,Yes,DSL,0
85.55,Buellton,93427,-120.238218,45,34.631362,33.34,1,118.89,0,85.55,33,4.0,Month-to-Month,0,Credit Card,Offer E,3,Yes,1,Female,No,Fiber Optic,1
93.35,Palmdale,93552,-118.029441,49,34.557711,733.95,15,2178.6,0,1444.65,48,15.0,Month-to-Month,0,Bank Withdrawal,No Offer,5,Yes,0,Male,No,Fiber Optic,1
109.65,Midway City,92655,-117.98588,62,33.744439,1728.5,50,7134.3,4,5405.8,34,13.0,Month-to-Month,0,Bank Withdrawal,Offer B,8,Yes,3,Female,Yes,Fiber Optic,0
89.7,Folsom,95630,-121.147403,25,38.672638,2430.0,72,8769.3,10,6339.3,33,30.0,Two Year,1,Credit Card,Offer A,9,No,4,Male,Yes,Cable,0
84.25,Oakland,94619,-122.14633,37,37.787186,1990.42,46,5938.02,0,3847.6,43,21.0,Month-to-Month,0,Credit Card,No Offer,4,No,2,Female,No,Fiber Optic,0
